Title,URL,Product,Items Available,Final Price,Date closed,Seller name,Seller page,Description
"**2015 Model**Apple Macbook AIR 13.3"" **5th Gen Intel Core i5**128GB SSD**4GB RAM**",https://www.bidorbuy.co.za/item/309213978/_2015_Model_Apple_Macbook_AIR_13_3_5th_Gen_Intel_Core_i5_128GB_SSD_4GB_RAM.html,"
  MacBook Air   13 inch""   128GB  4 GB Ram  1.6Ghz or more   ",1,"R7,500.,R9,999.",2017-10-22,EZ TECH,https://www.bidorbuy.co.za/seller/1733659/EZ_TECH,"
	,	
	  ,Original Apple MacBook AIR AND CHARGER,EXCELLENT 9/10 Condition,Apple MacBook AIR - 13.3"" - 5th Gen Intel ,1.6 GHz Core i5 ,- 2015 - 128GB SSD - 4GB RAM ,  , ,The Apple MacBook Air ""Core i5"" 1.6 13-Inch (Early 2015/Broadwell)  features a 14-nm ""Broadwell ULT"" 1.6 GHz Intel ""Core i5"" processor  (5250U) with two independent processor ""cores"" on a single chip, a 3 MB  shared level 3 cache, 4 GB or 8 GB of ,onboard, 1600 MHz LPDDR3  SDRAM (4 GB of RAM originally with the option to upgrade to 8 GB at the  time of purchase only, and 8 GB standard starting April 19, 2016), 128  GB or 256 GB of 4 Lane PCIe-based flash storage, and an ""integrated""  Intel HD Graphics 6000 graphics processor that shares system memory.,This  all is packed in a razor thin 0.11-0.68 inch), 2.96 pound, aluminum  case with an integrated 720p ""FaceTime HD"" webcam, a backlit full-size  keyboard and a 13.3"" widescreen TFT LED backlit active-matrix ""glossy""  display (1440x900 native resolution).,Connectivity includes  802.11ac Wi-Fi, Bluetooth 4.0, analog audio out, a single ""Thunderbolt"" 2  port, two USB 3.0 ports, and an SDXC-capable SD card slot.,Compared to its ,predecessor,,  this model looks effectively identical, but has a more advanced  processor and architecture, more advanced graphics, ""twice as fast"" 4x  PCIe storage and Thunderbolt 2 support. It has some different  identifiers, too.,PAYMENT SHOULD BE MADE WITHIN 48 HOURS OF PURCHASE,Items will be sent with courier @ R350 (1-3 Working Days for Delivery), ,Insurance is optional ,Items paid for will be dispatched day after payment clears unless it falls on a Friday then it will only go out on Monday,Please note no collections will be allowed as all items are sent straight from our warehouse to you,Only the OS and Drivers will be loaded on the computer , ,ACTUAL PICS OF LAPTOP:, , , ,
  ,
,    
"
Macbook air -  a1237  13inch  laptop for spares  only not working - Please read ad.,https://www.bidorbuy.co.za/item/304962090/Macbook_air_a1237_13inch_laptop_for_spares_only_not_working_Please_read_ad.html,,1,"R2,700.",2017-10-22,Digitalgr8ness,https://www.bidorbuy.co.za/seller/412916/Digitalgr8ness,"
	,	
	  ,i have 2 x macbook air 13"" laptops for spares R2500 each , they have no ram , no hard drives , no charger and screws no batteries  - all that you get that can be used is 2 x screen assembleys 100% working  lcd screen with top case worth around 5000 - 10 000, 2 x original keyboards working condition worth R800 each , they have motherboards but not sure if they work  1 x motherboard does make the apple startup chimes sound other one not. also internal wifi modules ,  fans , charging ports , webcams etc., ** This is for 1 x macbook air for spares,so parts available on these are as follows:,2 x 13"" screens with top case,2 x OEM keyboards,2 x touchpad with casing,2 x bottom case,2 x wifi module,2 x webcam,2 x bluetooth module,2x logic boards not sure if they work,2 x charging pins,2 x cpu's,  parts listing above is what you get if you take both,
  ,
,    
"
MACBOOK AIR 13INCH EARLY 2015 BRAND NEW CONDITION!!!,https://www.bidorbuy.co.za/item/306273044/MACBOOK_AIR_13INCH_EARLY_2015_BRAND_NEW_CONDITION.html,"
  MacBook Pro   13 inch""   128GB  8 GB Ram  1.6Ghz or more   ",1,"R9,999.",2017-10-21,B.W,https://www.bidorbuy.co.za/seller/416068/B.W,"
	,	
	  ,MacBook Air Early 2015,Intel Core i5,8GB Ram,128GB Flash Storage,macOS Sierra,Including Charger,13"" HD Display (1440x900),New Condition,Please View Photos For Quality Purposes ,*****10/10 Condition*****,Do Not Bid if you do not intend to pay within 24Hrs ,If payment is not made or you change your mind after Buying/Winning the bid you will be liable for the Re-listing cost of R180., , ,
  ,
,    
"
Apple MacBook Pro 17-inch | Core 2duo 2.8 GHz | 4GB DDR3  | 500GB HDD *** GENUINE APPLE ***,https://www.bidorbuy.co.za/item/308383269/Apple_MacBook_Pro_17_inch_Core_2duo_2_8_GHz_4GB_DDR3_500GB_HDD_GENUINE_APPLE.html,"
  MacBook Pro   17 inch""   500GB  4 GB Ram  2.8Ghz or more   ",1,"R7,500.",2017-10-20,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,Apple MacBook Pro 17-inch | Core 2duo 2.8 GHz | 4GB DDR3  | 500GB HDD ,17 Inch DISPLAY - ,NVIDIA GEFORCE 9400M ,MAC OS X 10.10.5,*** GENUINE APPLE ***, , ,Note :, ,Comes with charger ,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION, , , , , , ,
  ,
,    
"
"MacBook Pro 13"" i7 8GB ram",https://www.bidorbuy.co.za/item/306138875/MacBook_Pro_13_i7_8GB_ram.html,"
  2.9 Ghz or more   ",1,"R8,000.,R9,000.",2017-10-20,JimCon6344,https://www.bidorbuy.co.za/seller/3654273/JimCon6344,"
	,	
	  , As new condition, unmarked and original packaging.,Hardly used, selling as such.,Delivery costs for buyers acc., , ,
  ,
,    
"
Apple MacBook Air 13.3-inch | Core i5 1.6GHz | 4GB DDR3 | 256GB SSD FLASH  **  EARLY 2015 ***,https://www.bidorbuy.co.za/item/308588448/Apple_MacBook_Air_13_3_inch_Core_i5_1_6GHz_4GB_DDR3_256GB_SSD_FLASH_EARLY_2015.html,"
  MacBook Air   13 inch""   256GB  4 GB Ram  1.6Ghz or more   ",1,"R9,500.,R9,750.",2017-10-20,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,Apple MacBook Air 13.3-inch | Core i5 1.6GHz | 4GB DDR3 | 256GB SSD FLASH,EARLY 2015 EDITION ,9.5/10 EXCELLENT CONDITION, , , Apple MacBook Air 13.3-inch ,Core i5 1.6 GHz DUAL CORE,4GB DDR3 ,256GB SSD FLASH ,INTEL HD GRAPHICS 6000 - 1536MB,MAC OS X 10.11,comes with CHARGER,  , , ,
  ,
,    
"
"MacBook Pro Core2Duo @ 2.16Ghz, 3gb Ram, 250gb HHD, ATI Graphics, 15"" Display (Bargain!!!)",https://www.bidorbuy.co.za/item/308897318/MacBook_Pro_Core2Duo_2_16Ghz_3gb_Ram_250gb_HHD_ATI_Graphics_15_Display_Bargain.html,"
  MacBook Pro   250GB  3 GB Ram  2.16Ghz or more   ",1,R900.,2017-10-18,polishednail,https://www.bidorbuy.co.za/seller/3224099/polishednail,"
	,	
	  , Macbook Pro (Serial no:W87140T0W0G),Intel Core2Duo @ 2.16Ghz,3gb Ram,250gb Hard Drive,ATI Radeon x1600 Graphics,15.4"" Widescreen Display (1440x900),DVD Rom/Rw,Backlit keyboard,WiFi,Bluetooth,2x USB,FireWire 400,Ethernet,DVI port,Webcam ,Aluminum body,Mac OS X ,ITEM WORKS , ONLY ISSUES ARE IT NEEDS A REPLACEMENT BATTERY, DOES NOT COME WITH THE CHARGER , HAS A SMALL BRIGHT SPOT ON THE SCREEN, AND THE KEYBOARD CAN BE A BIT TEMPREMENTAL AT TIMES BUT THE BUTTONS DO WORK (SUSPECT DUST IN IT). SOLD AS IS,
  ,
,    
"
"Apple MacBook Pro 15"" 2.6GHz Core i7** 8GB** 256GB SSD***",https://www.bidorbuy.co.za/item/308787441/Apple_MacBook_Pro_15_2_6GHz_Core_i7_8GB_256GB_SSD.html,"
  MacBook Pro   256GB  8 GB Ram  2.6Ghz or more   ",1,"R7,600.,R8,500.",2017-10-18,Za-Supervisor,https://www.bidorbuy.co.za/seller/1294163/Za-Supervisor,"
	,	
	  ,Apple MacBook Pro 15"" ,2.6GHz ** Core ,I7,8GB** 256SSD HDD*** ,Mid 2012 Model,SPECS,2.6GHz quad-core Intel Quad Core i7 ,Turbo Boost up to 3.3GHz ,8GB memory ,256SSD, HDD ,Drive,Video Card: GeForce GT 650M,MODEL: A1286,Excellent condition,Offers wellcome,Charger included ,PAYMENT SHOULD BE MADE WITHIN 48 HOURS OF PURCHASE, ,PLEASE ASK QUESTIONS IF NOT CLEAR,Shipping R300 + 3% (Insurance optional) with courier overnight,Shipping only done on Mondays and Friday,PLEASE DON'T BUY IF YOU CANT PAY WITHIN ALLOCATED TIME.,PAYMENTS WITHIN 48HOURS.,INSURANCE IS FOR BUYER'S ACCOUNT,NEGATIVE RATED BIDDERS WILL BE DELETED,WE RESERVE THE RIGHT TO CANCEL OR DELETE AUCTIONS,PLEASE NOTE THAT WHILST ALL CARE IS TAKEN TO ENSURE PRODUCT IS SHIPPED ON TIME, ,WE CANNOT BE HELD RESPONSIBLE FOR ANY DELAYS OR DAMAGE CAUSED BY COURIERS,Item can close at anytime,
  ,
,    
"
"""LIKE NEW"" Apple Macbook Pro A1278 - 13"" - Intel Core i5 - 512 GB SSD - 16GB RAM  - 2.5GHz - Backlit",https://www.bidorbuy.co.za/item/308727655/_LIKE_NEW_Apple_Macbook_Pro_A1278_13_Intel_Core_i5_512_GB_SSD_16GB_RAM_2_5GHz_Backlit.html,"
  MacBook Pro   13 inch""   512GB  16 GB Ram  2.50Ghz or more   ",1,"R7,950.,R14,500",2017-10-18,Dominent PC,https://www.bidorbuy.co.za/seller/914810/Dominent_PC,"
	,	
	  , ,SERIOUS BUYERS ONLY ,PAYMENT MUST BE MADE 24 HOURS , SHIPPING ON THIS ITEM IS R290 - IF YOU PAY FROM ANOTHER BANK INTO BIDORBUY IT CAN TAKE UPTO 2 DAYS TO REFLECT IN MY BIDORBUY ACCOUNT AND 1 - 2 DAYS INTO MY ACCOUNT,BARGAIN - CYCLE COUNT 22 - NOT A MARK OR A SPOT - LIKE BRAND NEW - Apple Macbook Pro A1287 - CYCLE COUNT 22 - 13"" 1280x800 - Intel Core i5-3210M - 512 GB SSD - 16GB RAM - 2.5 GHz - Backlit Keyboard - OS X El Capitan - Please view Original Pictures - SUPER FAST - Original Charger, ,ORIGINAL PICTURES , , ,The MacBook Pro ""Core i5"" 2.5 13-Inch (Mid-2012/USB 3.0) features a 22 nm ""Ivy Bridge"" 2.5 GHz Intel ""Core i5"" processor (3210M), with two independent processor ""cores"" on a single silicon chip, a 3 MB shared level 3 cache, 16GB of 1600 MHz DDR3L SDRAM (PC3-12800) installed in pairs (two 2 GB modules), a 512 SSD hard drive, an 8X DL ""SuperDrive"", an ""integrated"" Intel HD Graphics 4000 graphics processor that shares system memory, an integrated 720p FaceTime HD webcam, and an LED-backlit 13.3"" widescreen TFT active-matrix ""glossy"" display (1280x800 native resolution).,Connectivity includes AirPort Extreme (802.11a/b/g/n), Bluetooth 4.0, Gigabit Ethernet, a Firewire ""800"" port, two USB 3.0 ports, a ""Thunderbolt"" port, audio in/out, and an SDXC card slot.,This model uses a ""Unibody"" aluminum case design -- milled from a single piece of aluminum -- and has a backlit keyboard, a ""no button"" glass ""inertial"" multi-touch trackpad, and a non-swappable battery design that provides an Apple estimated 7 hours of battery life.,Compared to its ,predecessor,, this model essentially is identical externally with the exception of the aforementioned USB 3.0 ports. Internally, however, it has a faster processor, architecture, graphics, and RAM.,- Intel Core i5-3210M @ 2.50Ghz -, Intel HD Graphics 4000 -, 13"" TFT LED--13"" backlit active matrix 1280x800,- Memory 16 GB Ram ,- 512 GB SSD,- Processor Speed - 2.50 GHz tubo boosts 3.1 GHz,- ,Backlit Keyboard ,- ,ORIGINAL CHARGER ,CONDITION 10/10 EXCELLENT CONDITION , ,
  ,
,    
"
Apple MacBook Air Core i5 1.7 11.6inch - A1465 - with protective cover,https://www.bidorbuy.co.za/item/307195824/Apple_MacBook_Air_Core_i5_1_7_11_6inch_A1465_with_protective_cover.html,"
  MacBook Air   11 inch""   64GB  4 GB Ram  1.7Ghz or more   ",1,"R5,999.",2017-10-18,Laptop Online,https://www.bidorbuy.co.za/seller/353325/Laptop_Online,"
	,	
	  ,Apple MacBook Air Core i5 1.7 11.6inch - with protective cover,Intel Core i5 1.7GHz (I5-3317U),4 GB DDR3 1600 MHz ,64GB SSD - 246/264 MB/s,11.6"" Widescreen - 1366x768 - LED-backlit glossy,HD Graphics 4000,720p FaceTime HD camera,Full-size backlit keyboard,Multi-Touch trackpad,Two USB 3 ports (up to 5 Gbps),Thunderbolt port (up to 10 Gbps),MagSafe 2 power port,Bluetooth 4.0 wireless technology,Wifi,Display,    11.6-inch (diagonal) high-resolution LED-backlit glossy widescreen display with support for millions of colors,    Supported resolutions:,     1366 x 768 (native) at 16:9 ratio, 1152 x 720 pixels and 1024 x 640 at  16:10 ratio, and 1024 x 768 and 800 x 600 at 4:3 ratio.,Storage1,    64GB flash storage,Processor,1.7GHz dual-core Intel Core i5 (Turbo Boost up to 2.6GHz) with 3MB shared L3 cache,Configurable to dual-core 2.0GHz Intel Core i7 (Turbo Boost up to 3.2GHz) with 4MB shared L3 cache., ,Memory,4GB of 1600MHz DDR3L onboard memory,Size and Weight,    Height: 0.11-0.68 inch (0.3-1.7 cm),    Width: 11.8 inches (30 cm),    Depth: 7.56 inches (19.2 cm),    Weight: 2.38 pounds (1.08 kg)2,Graphics and Video Support,    Intel HD Graphics 4000,    Dual display and video mirroring:,     Simultaneously supports full native resolution on the built-in display  and up to 2560 by 1600 pixels on an external display, both at millions  of colors,    Thunderbolt digital video output,        Native Mini DisplayPort output,        DVI output using Mini DisplayPort to DVI Adapter (sold separately),        VGA output using Mini DisplayPort to VGA Adapter (sold separately),        Dual-link DVI output using Mini DisplayPort to Dual-Link DVI Adapter (sold separately),        HDMI audio and video output using third-party Mini DisplayPort to HDMI Adapter (sold separately),Camera,720p FaceTime HD camera,Connections and Expansion,    Two USB 3 ports (up to 5 Gbps),    Thunderbolt port (up to 10 Gbps),    MagSafe 2 power port,Wireless,    802.11n Wi-Fi wireless networking;3 IEEE 802.11a/b/g compatible,    Bluetooth 4.0 wireless technology,Audio,    Stereo speakers,    Omnidirectional microphone,    Headphone port,    Support for Apple iPhone headset with remote and microphone,Keyboard and Trackpad,     Full-size backlit keyboard with 78 (U.S.) or 79 (ISO) keys, including  12 function keys and 4 arrow keys (inverted “T” arrangement) with  ambient light sensor,    Multi-Touch trackpad for precise cursor  control; supports inertial scrolling, pinch, rotate, swipe, three-finger  swipe, four-finger swipe, tap, double-tap, and drag capabilities,Battery and Power4,    Up to 5 hours wireless web,    Up to 30 days standby time,    Built-in 35-watt-hour lithium-polymer battery,    45W MagSafe 2 Power Adapter with cable management; MagSafe 2 power port, ,Condition of Macbook:,8 out of 10. MacBook in good condition, however laptop does have small  ding on the side of the lid. See picture below. , , ,GENERAL:,***Payment must be made within 24 Hours after bidding has closed***,Do  not      bid if you do  not intent to pay as this will definitely  result in a      negative rating.We  reserve the right to delete the  item from the      auction at any time.,If you have more than 3 (three) negative ratings in the past month please do not bid on my items as your bid will be deleted.,Shipping is payable by buyer.,Insurance        is mandatory at 3% of purchase price at buyers cost. A tracking      number   will be forwarded as soon as item is dispatched.,All  items     we carry   in stock (Some items we have to wait for too) will  be   shipped   within  48  hours after funds have cleared except  weekends and   public   holidays.  If  there is an unforeseen delay you  will be   contacted via   e-mail.,To speed up dispatch, please use your Bid-or-Buy EMAIL address as reference on transfers / deposits,
  ,
,    
"
Apple MacBook Air 13-inch | CORE 2 DUO 1.86 GHz | 2GB DDR3 | 256GB SSD  **** GENUINE APPLE ****,https://www.bidorbuy.co.za/item/308396806/Apple_MacBook_Air_13_inch_CORE_2_DUO_1_86_GHz_2GB_DDR3_256GB_SSD_GENUINE_APPLE.html,"
  MacBook Air   256GB  2 GB Ram  1.86Ghz or more   ",1,"R6,990.,R7,500.",2017-10-18,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,Apple MacBook Air 13-inch | CORE 2 DUO 1.86 GHz | 2GB DDR3 | 256GB SSD  ,**** GENUINE APPLE ****, , , , MACBOOK AIR 13"" CORE 2 DUO 1.86GHZ,2GB DDR3 RAM / ,NVIDIA GEFORCE 320M 256MB,OS X EL CAPITAN 10.11.1 / ,256GB SSD - SOLID STATE DRIVE, COMES WITH CHARGER / ,EXCELLENT CONDITION, , , , ,
  ,
,    
"
Apple MacBook 13 inch | Core 2 Duo 2.0Ghz | 2.5GB RAM | 500GB HDD *** GENUINE APPLE ***,https://www.bidorbuy.co.za/item/308450761/Apple_MacBook_13_inch_Core_2_Duo_2_0Ghz_2_5GB_RAM_500GB_HDD_GENUINE_APPLE.html,"
  MacBook   500GB  2.0Ghz or more   ",1,"R3,750.,R3,990.",2017-10-18,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,Apple MacBook 13 inch | Core 2 Duo 2.0Ghz | 2.5GB RAM | 500GB HDD,*** GENUINE APPLE ***,Comes with Apple charger ,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION, , , , , ,
  ,
,    
"
Apple MacBook Pro 13.3-inch | Core i5 2.5GHz | 4GB DDR3 RAM | 500GB HDD - WIFI NOT WORKING,https://www.bidorbuy.co.za/item/308624334/Apple_MacBook_Pro_13_3_inch_Core_i5_2_5GHz_4GB_DDR3_RAM_500GB_HDD_WIFI_NOT_WORKING.html,"
  MacBook Pro   500GB  4 GB Ram  2.5Ghz or more   ",1,"R5,750.,R5,990.",2017-10-18,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,Apple MacBook Pro 13.3-inch | Core i5 2.5GHz | 4GB DDR3 RAM | 500GB HDD  ,WIFI NOT WORKING, ,*** GENUINE APPLE ***, , , , ,MacBook Pro 13.3-inch,2.5 GHz dual-core Intel Core i5,4GB of DDR3 RAM,500GB 5400-rpm hard drive,13.3 inch  display,Intel HD Graphics ,Built in FaceTime HD Camera,8X slot loading super drive,Thunderbolt port,SDXC card Slot,Firewire 800 Port,2 x USB 3.0 ports, ,COMES WITH APPLE CHARGER ONLY  ,SCRATCHES IN ONE CORNER,ACTUAL PICS BELOW, , , , ,
  ,
,    
"
"MACBOOK A1181 13"" CORE 2 DUO, 1.83GHZ , 250GB HD , 4GB RAM, CD RW, MAC OS X version 10.6.8, CAM, ETC",https://www.bidorbuy.co.za/item/305191029/MACBOOK_A1181_13_CORE_2_DUO_1_83GHZ_250GB_HD_4GB_RAM_CD_RW_MAC_OS_X_version_10_6_8_CAM_ETC.html,"
  MacBook   13 inch""   250GB  4 GB Ram  1.83Ghz or more   ",1,"R2,299.",2017-10-17,EverBright,https://www.bidorbuy.co.za/seller/486266/EverBright,"
	,	
	  ,MACBOOK A1181 13"" CORE 2 DUO, 1.83GHZ , 250GB HD , 4GB RAM, CD RW, MAC OS X version 10.6.8, CAM, ETC, ,IF YOU HAVE ANY QUESTIONS PLEASE ASK BEFORE PLACING AN ORDER, AS WE PAY A NON REFUNDABLE LISTING FEE,Web pic above used for illustration only doesn't represent actual item,Model: MacBook A1181,Specifications:,Intel Core 2 Duo  1.83 GHz ,13.3"" Glossy Screen,1280 x 800 Resolution,Intel GMA 950 Graphics,250GB Hard Drive ,4GB 667MHz DDR2 SDRAM (2 slots),Intel HD Audio,Firmware Type : EFI,Builtin CD RW ,Drive / ,WiFi /  Bluetooth / Web Cam,LAN / USB / 2 x usb ports / mini DVI Port / Firewire,Mac OS X version 10.6.8,Battery condition : Normal,Laptop & Charger only, ,used laptop with normal usage signs but overall good condition,CD Drive not working (not sure what the issue is , tries to read CD then ejects),Actual pics below:,  ,SHIPPING CHARGES EXCLUDE OPTIONAL 3% INSURANCE, IF YOU WANT TO INSURED THE PARCEL PLEASE ASK BEFORE PAYMENT, ,Please ask if you have any questions / doubts before purchase,If you buy without any questions, it will be assumed that you read all the contents and understand completely. ,VIEW MY OTHER LISTINGS ON BID OR BUY:,Click here to view my other listings, ,
  ,
,    
"
