Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310418228/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,"R1,299.",,10/30/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB BLACK,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310418230/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,"R1,299.",,10/30/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB WHITE,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
iPhone 6s black Silver 64GB,https://www.bidorbuy.co.za/item/309743605/iPhone_6s_black_Silver_64GB.html,Apple  iPhone 6s  64GB  iOS  4.5 to 4.9 Inches  12 Megapixels or more,1,"R4,600.,R7,200.","R4,600.00   29 Oct 22:18  ",10/29/2017,spalankar,https://www.bidorbuy.co.za/seller/3299921/spalankar,"
	,	
	  , ,iPhone 6s 64gb black silver in very good condition rating 8.5/10 !!! ,Comes with box + usb cable !!! ,Small Scratches on screen guard top & bottom (which is replaceable) of phone. tiny scratch on screen hardly visible !!!!,Device is in good condition and 100% working order !!!! ,Collections available in Johannesburg Area only !!!,No bidders outside South Africa !! ,Payment within 24hrs of auction closing !!!!! ,Please do not bid if you not willing to pay !!!!,Please Communicate before any negative rating.,Happy Bidding!!!!! :-), ,
  ,
,    
"
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310446033/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,R850.,R850.00   28 Oct 22:22  ,10/29/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB BLACK,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
iPhone 5s 16GB with box,https://www.bidorbuy.co.za/item/309596365/iPhone_5s_16GB_with_box.html,Apple  iPhone 5S  16GB  iOS,1,"R1,950.",,10/29/2017,blacklightblue,https://www.bidorbuy.co.za/seller/192152/blacklightblue,"
	,	
	  ,iphone 5s, Silver, 16GB in good condition. Phone is reset so ready to use. On the top left and right, small chips, please see pic. Phone in perfect working condition. Including a case for the phone. Original box included - earphones never used. Please note that the plug is for the UK, you just need to buy an adapter. Also the charging cable is not included., ,
  ,
,    
"
,,,,,,,,,
IPHONE 7 PLUS - 256GB - BLACK,https://www.bidorbuy.co.za/item/310645407/IPHONE_7_PLUS_256GB_BLACK.html,Apple  iPhone 7 Plus  256GB  iOS  5.5 Inches & Over  12 Megapixels or more,1,"R7,999.",,10/29/2017,TECH_STORE,https://www.bidorbuy.co.za/seller/953669/TECH_STORE,"
	,	
	  ,IPHONE 7 PLUS,256GB - BLACK,good condition - has a small crack above the screen - does not affect the screen at all,in box with charger, cable and used earphones,unlocked - OPEN TO ALL NETWORKS,actual pics:,Device,iPhone 7 Plus,Capacity,256GB,Size And Weight,Height: 158.2 mm,Width: 77.9 mm,Depth: 7.3 mm,Weight: 188 grams,Display,Retina HD display,5.5-inch (diagonal) LED-backlit widescreen,Multi-Touch display with IPS technology,1920x1080-pixel resolution at 401 ppi,1300:1 contrast ratio (typical) ,Wide colour display (P3),625 cd/m2 max brightness (typical),Dual-domain pixels for wide viewing angles,Fingerprint-resistant oleophobic coating,Support for display of multiple languages and characters simultaneously,Display Zoom,Reachability, ,Chip,A10 Fusion chip with 64-bit architecture Embedded M10 motion coprocessor,Camera, Photo and Video,Camera,12MP wide-angle and telephoto cameras,Wide-angle: Æ’/1.8 aperture,Telephoto: Æ’/2.8 aperture,Optical zoom at 2x; digital zoom up to 10x,Optical image stabilisation,Sixelement lens,Quad-LED True Tone flash,Panorama (up to 63 megapixels),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Live Photos with stabilisation,Wide colour capture for photos and Live Photos,Improved local tone mapping,Body and face detection,Exposure control,Noise reduction,Auto HDR for photos,Auto image stabilisation,Burst mode,Timer mode,Photo geotagging,Video Recording,4K video recording at 30 fps,1080p HD video recording at 30 fps or 60 fps,720p HD video recording at 30 fps,Optical image stabilisation for video,Optical zoom at 2x , digital zoom up to 6x,Quad-LED True Tone flash,Slomo video support for 1080p at 120 fps and 720p at 240 fps,Timelapse video with stabilisation,Cinematic video stabilisation (1080p and 720p),Continuous autofocus video,Body and face detection,Noise reduction,Take 8-megapixel still photos while recording 4K video,Playback zoom,Video geotagging, ,FaceTime HD Camera,7-megapixel photos,1080p HD video recording,Retina Flash,Æ’/2.2 aperture,Wide colour capture for photos and Live Photos,Auto HDR,Backside illumination sensor,Body and face detection,Auto image stabilisation,Burst mode,Exposure control,Timer mode,Cellular and Wireless,FDD-LTE (Bands 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 27, 28, 29, 30) ,TD-LTE (Bands 38, 39, 40, 41) ,UMTS/HSPA+/DC-HSDPA (850, 900, 1700/2100, 1900, 2100 MHz) ,GSM/EDGE (850, 900, 1800, 1900 MHz),802.11a/b/g/n/ac WiFi with MIMO,Bluetooth 4.2 wireless technology,NFC,Buttons And Connectors,Home / Touch ID sensor,Volume up/down,Ring / Silent,On / Off / Sleep / Wake,Built-in stereo speakers,Built-in microphone,Lightning connector,Power And Battery,Up to 1 hour longer battery life than iPhone 6s Plus,Talk time (wireless):,Up to 21 hours on 3G,Standby:,Up to 16 days,Built-in rechargeable lithium-ion battery,Charging via USB to computer system or power adapter,Splash, Water and Dust Resistant,Rated IP67 under IEC standard 60529,*iPhone 7 Plus is splash, water and dust resistant, and were tested under controlled laboratory conditions with a rating of IP67 under IEC standard 60529.Splash, water and dust resistance are not permanent conditions and resistance might decrease as a result of normal wear.,Do not attempt to charge a wet iPhone.,Refer to the user guide for cleaning and drying instructions.,Liquid damage not covered under warranty.,Sensors,Touch ID fingerprint sensor,Barometer,Three-axis gyro,Accelerometer,Proximity sensor,Ambient light sensor,Connector,Lightning,Headphones,EarPods with Lightning Connector,Sim Card,Nano SIM card,
  ,
,    
"
,,,,,,,,,
iPhone 5s 16GB Silver {Good Condition 8.5/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/307723911/iPhone_5s_16GB_Silver_Good_Condition_8_5_10_6_Month_Warranty.html,Apple  iPhone 5S  16GB  iOS,1,"R2,449.",,10/29/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: The screen still looks fantastic with barely an noticeable marks from previous usage. ,Frame,: The frame still looks really good with a few small marks from previous usage.,Back Casing,: The back casing also still looks great with one or two small marks from previous usage.,Functions,: All system functions are working 100% on this device.  ,Special Mention,: This device still looks great and works great, we are even going to throw in a free cover!,Accessories,: This device comes with a high quality generic charger and USB cable and a free cover.,Dhiren - ""Always a pleasure dealing with this seller!!! Recommended always !!! :-)"",Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). , ,Like all our devices, this iPhone is not iCloud locked!,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)*,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre., ,
  ,
,    
"
,,,,,,,,,
IPHONE 6 PLUS 64GB,https://www.bidorbuy.co.za/item/308534493/IPHONE_6_PLUS_64GB.html,Apple  iPhone 6 Plus  64GB  iOS,1,"R3,640.","R3,640.00   24 Oct 11:49  ",10/29/2017,TAFAZA,https://www.bidorbuy.co.za/seller/535145/TAFAZA,"
	,	
	  , ,TERMS AND CONDITIONS OF SALE,  ,·,        ,IF YOU DO NOT AGREE WITH THESE TERMS PLEASE DO NOT BID ,  ,·,         ,PAYMENT WITHIN 72 HOURS OR ITEM WILL BE SOLD TO NEXT BIDDER,  ,·,         ,NO COLLECTIONS WHATSOEVER,  ,·,         ,2,ND, HAND ITEMS SHOULD BE EXPECTED TO BE IN 2,ND, HAND CONDITION,  ,·,         ,NO WARRANTY ON ITEMS UNLESS SPECIFIED THERE IS A WARRANTY!!! IF BRAND NEW SEALED ITEMS IS PURCHASED AND HAS AN OUT OF BOX FAILURE, IF WE HAVE STOCK WE MAY OFFER TO REPLACE, IF NOT MUST BE REPAIRED UNDER WARRANTY, WE DO NOT HAVE A RETURNS/REFUND POLICY. AUCTION = VOETSTOOTS, ,NO REFUNDS, EXCHANGES, RETURNS ETC , WE TRY TO SELL AS CHEAP AS POSSIBLE, NOT STORE PRICES, ,  ,·,         ,SHIPPING CHARGES ARE NOT REFUNDABLE AT ALL!! UNDER ANY CIRCUMSTANCES, IF FOR SOME REASON YOU HAVE TO SEND BACK TO US AND WE SEND BACK TO YOU, YOU WILL BE LIABLE FOR ALL CHARGES.,  ,·,         ,WE DO NOT USE THE POST OFFICE AT ALL ANYMORE, ONLY COURIER DOOR TO DOOR, WE ARE IN A REGIONAL AREA, SO MAY TAKE A FEW DAYS, BE PATIENT AS COURIER DOES NOT PICK UP EVERYDAY HERE! ,  ,THESE ARE MY TERMS AND CONDITIONS FOR THE ITEM LISTED, I BEG YOU IF YOU ARE NOT HAPPY WITH THESE TERMS DO NOT BID OR BUY! BY BIDDING/BUYING YOU AGREE TO THESE TERMS! THANK YOU AND GOOD LUCK. , ,CRAZZY SPECIAL ONLY ONE PIECE  ,I BEG YOU DO NOT CLICK BUY NOW IF YOU DO NOT WANT THIS PHONE!!!!!!!!!!!!!!!!!! READ THE AD!!!!!!!!!, , ,IPHONE 6 PLUS 64GB, PHONE IN GOOD PHYSICAL CONDITION, ,PHONE WORKS HOWEVER FREEZES EVERY NOW AND THEN AND COMES BACK TO NORMAL, ALSO SCREEN FLASHES ON THE TOP EVERY NOW AND THEN.. this seems to be an issue with the screen, which may have been replaced previously, touch id does work sold as is!!!!, ,What i noticed now while playing with the phone is when it freezes and when the screen flashes if you tap it on the top of the screen it comes right again and then does the same after a while again, sometimes nothing happens for a while and sometimes freezes alot! ,SOLD AS IS  !!!!!!!!!!, , , ,
  ,
,    
"
,,,,,,,,,
iPhone 5s 64GB Silver {Good Condition} (6 Month Warranty),https://www.bidorbuy.co.za/item/310417065/iPhone_5s_64GB_Silver_Good_Condition_6_Month_Warranty.html,Apple  iPhone 5S  64GB  iOS,1,"R2,699.",,10/29/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: The screen still looks fantastic with barely any noticeable marks from previous usage. , , ,Frame,: The frame still looks good with a few small scratches and nicks on the casing from previous usage., , ,Functions,: All system functions are working 100% on this device.  , , ,Special Mention,: This device still looks great and works great - excellent value for money., , ,Accessories,: This device comes in the original box, with original Earpods and with a high quality generic charger and USB cable.,Dhiren - ""Always a pleasure dealing with this seller!!! Recommended always !!! :-)"", , , ,Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., , , Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). ,Like all our devices, this iPhone is not iCloud locked!, ,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)*, ,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre.,
  ,
,    
"
,,,,,,,,,
iPhone 5s 32GB Space Grey {Very Good Condition} (6 Month Warranty),https://www.bidorbuy.co.za/item/309821919/iPhone_5s_32GB_Space_Grey_Very_Good_Condition_6_Month_Warranty.html,Apple  iPhone 5S  32GB  iOS,1,"R2,599.",,10/28/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: The screen still looks fantastic almost zero marks from previous usage.,Frame,: The frame still looks really good with a few small marks, there is one more noticeable mark on the bottom right corner.,Back Casing,: The back casing also still looks really good with a few small marks from previous usage. The casing of the device has been replaced, the IMEI on the casing differs from the actual IMEI of the device.,Functions,: All system functions are working 100% on this device.  ,Special Mention,: This device still looks really good and is in a fantastic working condition!,Accessories,: This device comes with its original Apple Lightning Cable and Wall Adapter., ,Denise - ""Fantastic company, so friendly. Not my first order. Always received exactly as described."",Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). , ,Like all our devices, this iPhone is not iCloud locked!,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)*,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre.,
  ,
,    
"
,,,,,,,,,
iPhone 6s Plus 128GB Rose Gold {Fantastic Cndition 8.5/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/310444359/iPhone_6s_Plus_128GB_Rose_Gold_Fantastic_Cndition_8_5_10_6_Month_Warranty.html,Apple  iPhone 6s Plus  128GB  iOS,1,"R6,399.",,10/28/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: The screen looks fantastic there are very few marks from previous usage.,Frame,: The frame still looks good with a few small which are mainly on the corners of the device.,Back Casing,: The back casing also still looks fantastic with minor marks from previous usage.,Functions,: All system functions are working 100% on this device. ,Special Mention,: Wow.. That is all I can say, this device still looks fantastic and even though the iPhone 8 has just been released, the iPhone 6s Plus is still top of the range! Buy this perfect gift for your wife, girlfriend or daughter, heck, buy it for your Gran! Make someone special happy.,Accessories,: This device comes in its original box and also comes with a high quality generic charger and USB cable. , , ,Ansley - ""Great Seller. Good communication. Product received as describe. Found the best seller of cellphones. Highly recommended"",Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:00pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). , ,Like all our devices, this iPhone is not icloud locked!,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)*,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre.,
  ,
,    
"
,,,,,,,,,
iPhone 7 Plus 32GB Silver {Fantastic Condition 8.5/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/308900295/iPhone_7_Plus_32GB_Silver_Fantastic_Condition_8_5_10_6_Month_Warranty.html,Apple  iPhone 7 Plus  32GB  iOS,1,"R7,999.",,10/28/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: The screen still looks fantastic with barely any marks and scratches from previous usage. ,Frame,: The frame still looks really good with barely any marks and scratches.  ,Back Casing,: The back casing also still looks fantastic.,Functions,: All system functions are working 100% on this device. ,Special Mention,: This is an awesome cellphone with fantastic capabilities,Accessories,: This device comes in its original box with all of its original, secondhand, accessories.,Amos - ""Excellent seller, very fast delivery, highly recommended"",Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). , ,Like all our devices, this iPhone is not iCloud locked!,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)*,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre.,
  ,
,    
"
,,,,,,,,,
Apple iphone 6 16GB Silver,https://www.bidorbuy.co.za/item/309082701/Apple_iphone_6_16GB_Silver.html,Apple  iPhone 6  16GB  iOS,1,"R3,500.,R3,599.","R3,500.00   27 Oct 23:09  ",10/27/2017,zah_Cell,https://www.bidorbuy.co.za/seller/2590795/zah_Cell,"
	,	
	  , ,Apple iphone 6 16GB Silver for sale. Phone is in a good condition, with minimal signs of usage, no cracks. Camera flash does not work, other than that everything is working 100%, , ,No icloud lock.,  , Auction includes Phone, charger (usb cable) only!!!, ,R80 SHIPPING ON Normal MAIL, R140 FOR SPEED SERVICES and R200 door to door (Via SAPO).,Please add 4% for insurance if required., , ,PAYMENT MUST BE MADE WITHIN 24 HOURS AFTER THE END OF THE AUCTION., ,Should you have any problems after receiving the phone, please contact us and well try our best to help. The phone is in a good condition and you will get exactly what is described, so there shouldn't be any issues, , ,
  ,
,    
"
,,,,,,,,,
** APPLE ** 30 GB iPOD CLASSIC ** BOXED & ACCESSORIES ** WHITE ** EXCELLENT CONDITION,https://www.bidorbuy.co.za/item/310420606/_APPLE_30_GB_iPOD_CLASSIC_BOXED_ACCESSORIES_WHITE_EXCELLENT_CONDITION.html,Apple  iPhone 4  iOS  4.0 to 4.4 Inches,1,"R1,200.,R2,250.","R1,200.00   27 Oct 13:59  ",10/27/2017,BUSINESS CELL,https://www.bidorbuy.co.za/seller/404476/BUSINESS_CELL,"
	,	
	  ,             ,            , , ,*** APPLE iPOD CLASSIC - ,30 GB, ,***, WHITE, ,***, ,*** ,BOXED, & ACCESSORIES ***, , , , , ,*** ,EXCELLENT, CONDITION ***,   ,*** ,PAYMENT, - BUSINESS CELL - ,12 HRS ,***, , , ,             ,                 ,  ,OUR PRODUCTS:, ,ORIGINAL, ,&, ,LOCAL, ,(NEW / DEMO) ,+, ,IN STOCK, ,UNLESS OTHERWISE STATED,  , ,
  ,
,    
"
,,,,,,,,,
APPLE IPHONE SE - 64GB - GOLD - excellent condition,https://www.bidorbuy.co.za/item/308519942/APPLE_IPHONE_SE_64GB_GOLD_excellent_condition.html,Apple  iPhone SE  64GB  iOS  4.0 to 4.4 Inches  12 Megapixels or more,1,"R3,850.,R4,500.","R3,850.00   26 Oct 12:31  ",10/27/2017,garreth2006,https://www.bidorbuy.co.za/seller/419164/garreth2006,"
	,	
	  , iPhone SE 64GB Gold,Compete with box, charger and new wooden HOUDT cover. ,Barely used, see pictures as reference. , , , ,Welcome to iPhone SE, the most powerful 4¿inch phone ever. To create it, we started with a beloved design, then reinvented it from the inside out. The A9 is the same advanced chip used in iPhone 6s. The 12¿megapixel camera captures incredible photos and 4K videos. And Live Photos bring your images to life. The result is an iPhone that looks small. But lives large.,The most powerful 4¿inch phone ever.,At the core of iPhone SE is the A9, the same advanced chip that€™s in iPhone 6s. With 64¿bit desktop-class architecture, the A9 chip brings you spectacular speed and responsiveness. And with console-class graphics performance, your favorite games and apps are incredibly rich and immersive. Making it a mighty chip for maximum performance.,4€³,Retina display,A9,chip,12,MP, , , ,
  ,
,    
"
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310372331/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,"R1,108.","R1,108.00   27 Oct 13:47  ",10/27/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB BLACK,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
